peak_date,trough_date,recovery_date,max_drawdown,duration_to_trough_days,duration_to_recovery_days
2020-02-19,2020-03-23,2020-11-09,-0.2429,33,264.0
2018-09-14,2018-12-24,2019-10-29,-0.1836,101,410.0
2021-11-16,2022-10-14,2023-06-12,-0.177,332,573.0
2024-12-04,2025-04-08,2025-08-12,-0.1628,125,251.0
2023-08-01,2023-10-27,2023-12-01,-0.1003,87,122.0
2024-03-21,2024-04-17,2024-07-11,-0.0651,27,112.0
2024-07-31,2024-08-05,2024-08-23,-0.0597,5,23.0
2025-10-27,2025-11-20,2025-11-26,-0.0593,24,30.0
2021-09-02,2021-10-04,2021-10-19,-0.0487,32,47.0
2020-01-16,2020-01-31,2020-02-05,-0.0456,15,20.0
