year,return,volatility,sharpe,max_drawdown,spy_return,excess_return,win_rate,trading_days
2018,0.0021,0.1496,0.0141,-0.1836,-0.0379,0.04,0.4971,173
2019,0.2967,0.1293,2.2939,-0.0758,0.3122,-0.0156,0.5794,252
2020,0.1426,0.2081,0.6854,-0.2429,0.1833,-0.0407,0.5573,253
2021,0.3024,0.1421,2.1274,-0.0683,0.2873,0.0151,0.5714,252
2022,-0.1027,0.1774,-0.579,-0.1615,-0.1818,0.079,0.4821,251
2023,0.3124,0.1433,2.1799,-0.1003,0.2618,0.0507,0.56,250
2024,0.2658,0.1425,1.8648,-0.0651,0.2489,0.0169,0.5595,252
2025,0.1815,0.1537,1.1814,-0.1487,0.1876,-0.0061,0.5673,245
