peak_date,trough_date,recovery_date,max_drawdown,duration_to_trough_days,duration_to_recovery_days
2020-02-19,2020-03-23,2020-11-09,-0.2474,33,264.0
2021-11-16,2022-10-14,2023-06-15,-0.1915,332,576.0
2018-09-25,2018-12-24,2019-07-12,-0.1902,90,290.0
2025-02-19,2025-04-08,2025-07-28,-0.1612,48,159.0
2023-09-14,2023-10-27,2023-12-01,-0.0917,43,78.0
2024-03-21,2024-04-19,2024-07-10,-0.0777,29,111.0
2024-07-16,2024-08-05,2024-08-29,-0.0724,20,44.0
2024-12-06,2025-01-10,2025-02-18,-0.0635,35,74.0
2025-10-27,2025-11-20,2025-11-28,-0.0597,24,32.0
2021-09-02,2021-10-04,2021-10-20,-0.0528,32,48.0
