Date,ticker,Open,High,Low,Close,Volume,missing_type,flag_bad_price,flag_negative_volume,flag_return_outlier,flag_stale,is_observed,is_tradable
2015-01-06,AMCR,35.73415756225586,35.73415756225586,35.73415756225586,35.73415756225586,0.0,observed_ok,False,False,False,True,True,False
2015-01-09,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-12,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-13,ACN,75.02991805597027,76.34212650930162,74.51172506747501,75.08007049560547,4007000.0,observed_ok,True,False,False,False,True,False
2015-01-13,ADI,43.675694456528674,44.33853788826721,42.54167712771131,42.76528549194336,2340100.0,observed_ok,True,False,False,False,True,False
2015-01-13,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-14,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-14,BAC,12.695993854627698,12.870563225275882,12.513489306202723,12.727734565734863,164779800.0,observed_ok,True,False,False,False,True,False
2015-01-15,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-16,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-20,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-21,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-22,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-23,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-26,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-27,AMCR,34.20270538330078,34.20270538330078,34.20270538330078,34.20270538330078,0.0,observed_ok,False,False,False,True,True,False
2015-01-29,ADBE,70.02999877929688,71.81999969482422,69.77999877929688,71.63999938964844,2538100.0,observed_ok,True,False,False,False,True,False
2015-02-02,AMCR,31.363117218017578,31.363117218017578,31.363117218017578,31.363117218017578,0.0,observed_ok,False,False,False,True,True,False
2015-02-03,AMCR,31.363117218017578,31.363117218017578,31.363117218017578,31.363117218017578,0.0,observed_ok,False,False,False,True,True,False
2015-02-12,AMCR,32.671241760253906,32.671241760253906,32.671241760253906,32.671241760253906,0.0,observed_ok,False,False,False,True,True,False
2015-02-13,AMCR,32.671241760253906,32.671241760253906,32.671241760253906,32.671241760253906,0.0,observed_ok,False,False,False,True,True,False
2015-02-17,AMCR,32.671241760253906,32.671241760253906,32.671241760253906,32.671241760253906,0.0,observed_ok,False,False,False,True,True,False
2015-02-18,AMCR,32.671241760253906,32.671241760253906,32.671241760253906,32.671241760253906,0.0,observed_ok,False,False,False,True,True,False
